symbol,date,open,high,low,close,volume
FUN,2025-02-14,43.27,43.58,42.51,43.28,744600
FUN,2025-02-18,43.32,45.93,43.16,45.76,1109900
FUN,2025-02-19,45.5,47.5,45.1,47.31,1183100
FUN,2025-02-20,46.99,47.42,46.14,46.43,1089200
FUN,2025-02-21,46.87,46.87,44.71,45.09,988100
FUN,2025-02-24,45.41,46.86,44.85,46.17,1756000
FUN,2025-02-25,46.05,46.78,45,46.63,1995800
FUN,2025-02-26,46.7,48.8,45.92,45.99,1890700
FUN,2025-02-27,47,47.08,42.78,43.36,3114500
FUN,2025-02-28,42.5,45.44,42.5,43.97,2290300
FUN,2025-03-03,44.15,45.24,42.65,43.39,1905200
FUN,2025-03-04,42.77,42.97,39.81,40.44,4751100
FUN,2025-03-05,40.56,41.56,40.26,41.04,1579400
FUN,2025-03-06,40.41,40.77,38.49,39.01,2009500
FUN,2025-03-07,38.81,38.9,36.9,37.64,2115500
FUN,2025-03-10,37.26,37.83,34.75,36.02,2140400
FUN,2025-03-11,36.38,36.66,34.36,34.5,2324600
FUN,2025-03-12,34.92,35.93,33.83,35.41,2139400
FUN,2025-03-13,35.46,36.09,34.76,35.06,1789100
FUN,2025-03-14,35.9,38.01,35.53,37.8,1404100
FUN,2025-03-17,38.01,39.21,37.78,38.88,1371300
FUN,2025-03-18,38.48,38.52,35.93,35.95,1891000
FUN,2025-03-19,35.96,37.41,35.95,37.22,1376500
FUN,2025-03-20,36.85,37.36,36.67,37.13,1000700
FUN,2025-03-21,37,37.48,36.35,37.44,2018000
FUN,2025-03-24,38.09,39.08,37.87,38.82,960200
FUN,2025-03-25,38.54,38.69,37.34,37.46,979500
FUN,2025-03-26,37.34,38.04,37.03,37.33,1056600
FUN,2025-03-27,37.06,37.32,36.67,37.1,1405400
FUN,2025-03-28,36.74,36.94,35.2,35.42,1285500
FUN,2025-03-31,34.79,35.86,34.78,35.67,1290600
FUN,2025-04-01,35.81,36.22,34.61,36.12,1031000
FUN,2025-04-02,35.51,37.64,35.51,37.37,1060500
FUN,2025-04-03,34.96,35.42,31.33,31.98,3198600
FUN,2025-04-04,30.59,31.9,29.9,31.48,3709000
FUN,2025-04-07,30.37,32.86,29.5,30.04,3844500
FUN,2025-04-08,31.38,32,28.12,28.29,3827300
FUN,2025-04-09,28.34,34.33,28.02,33.57,3902700
FUN,2025-04-10,32.3,32.56,30.61,32.29,2183100
FUN,2025-04-11,31.83,32.59,31.15,31.91,1151400
FUN,2025-04-14,32.24,32.99,31.07,32.2,1201100
FUN,2025-04-15,32.15,32.79,31.55,31.74,1089600
FUN,2025-04-16,31.36,32.32,30.9,31.84,1250700
FUN,2025-04-17,31.54,33.46,31.54,33.4,1092600
FUN,2025-04-21,33.3,33.38,32.38,32.94,2113700
FUN,2025-04-22,33.11,34.53,33.07,34.35,1498600
FUN,2025-04-23,35.69,36.48,35,35.46,2327900
FUN,2025-04-24,35.59,36.22,35.14,36.01,1512200
FUN,2025-04-25,35.9,36.14,35.1,36.1,1072600
FUN,2025-04-28,35.48,36.43,35.12,35.55,2238400
FUN,2025-04-29,35.31,35.33,34.55,35.23,1382400
FUN,2025-04-30,34.28,34.51,33.14,34.41,1624200
FUN,2025-05-01,34.64,35.62,34.46,34.92,1726900
FUN,2025-05-02,35.05,36.05,35,35.8,1163900
FUN,2025-05-05,35.36,36.21,35.26,35.73,1916500
FUN,2025-05-06,35.22,36.01,34.75,35.43,2439600
FUN,2025-05-07,35.81,36.73,35.65,36.11,2052900
FUN,2025-05-08,34.51,35.68,32.15,34.44,6122100
FUN,2025-05-09,34.32,36.2,34.02,35.91,3155400
FUN,2025-05-12,36.96,38.43,36.5,38.13,3477600
FUN,2025-05-13,38.29,38.47,37.01,37.16,2468200
FUN,2025-05-14,37.34,37.82,36.15,36.92,1942500
FUN,2025-05-15,36.9,37.09,36.08,36.74,1556200
FUN,2025-05-16,36.71,37.95,35.97,37.78,1550200
FUN,2025-05-19,37.31,37.51,36.78,37.09,2040500
FUN,2025-05-20,37.28,38.27,36.06,36.33,3316700
FUN,2025-05-21,35.97,36.26,34.19,34.2,2180100
FUN,2025-05-22,34.27,34.89,33.85,34.67,1867500
FUN,2025-05-23,33.75,34.69,33.4,34.2,1854500
FUN,2025-05-27,35.1,35.59,34.65,35.06,2484700
FUN,2025-05-28,35.11,35.65,34.36,34.53,2252700
FUN,2025-05-29,34.73,34.96,34.24,34.61,1483400
FUN,2025-05-30,34.45,34.46,33.03,33.56,2711500
FUN,2025-06-02,33.75,33.79,31.82,32.74,2679000
FUN,2025-06-03,32.62,33.51,32.21,33.11,2082900
FUN,2025-06-04,33,33.4,32.8,33.26,1251400
FUN,2025-06-05,33.16,33.39,32.55,32.85,1508400
FUN,2025-06-06,33.51,33.63,32.86,33.25,1850400
FUN,2025-06-09,33.6,33.6,31.68,31.82,2622600
FUN,2025-06-10,31.95,32.74,31.52,32.7,2178300
FUN,2025-06-11,32.87,33.14,31.87,32.03,2150600
FUN,2025-06-12,31.9,31.93,30.91,31.76,2172100
FUN,2025-06-13,31.06,31.35,29.66,29.87,3466400
FUN,2025-06-16,30.22,30.35,29.39,29.48,2509300
FUN,2025-06-17,29.18,30.33,29.07,29.3,3180800
FUN,2025-06-18,29.39,30.58,29.15,30.34,1851800
FUN,2025-06-20,30.63,31.17,30,30.35,1619900
FUN,2025-06-23,30.13,30.59,29.54,30.49,1334800
FUN,2025-06-24,31.13,31.31,30.34,30.49,1609800
FUN,2025-06-25,30.41,30.86,29.85,30.25,1227400
FUN,2025-06-26,30.35,30.91,30.18,30.64,1745900
FUN,2025-06-27,30.83,30.89,29.87,30.89,3310000
FUN,2025-06-30,30.66,30.94,29.83,30.43,2220500
FUN,2025-07-01,30.27,32.32,30.04,31.87,3521900
FUN,2025-07-02,32,32.31,31.02,31.92,3852100
FUN,2025-07-03,32,32.53,31.86,32.15,826100
FUN,2025-07-07,31.9,31.98,30.64,31.07,2196400
FUN,2025-07-08,31.22,32.21,30.89,31.46,3717500
FUN,2025-07-09,31.73,32.09,31.57,31.88,5908800
FUN,2025-07-10,31.88,32.28,31.25,31.35,1833400
FUN,2025-07-11,31,31.12,29.65,29.72,2030200
FUN,2025-07-14,29.53,29.71,28.15,28.71,2886200
FUN,2025-07-15,28.58,28.81,27.14,27.28,3348500
FUN,2025-07-16,27.37,28.17,27.07,28.04,2021000
FUN,2025-07-17,28.05,29.61,28.05,29.44,3007400
FUN,2025-07-18,29.8,30.88,29.74,30.75,3353200
FUN,2025-07-21,30.93,31.16,30.67,30.96,2726500
FUN,2025-07-22,31.23,31.89,30.75,31.6,1831100
FUN,2025-07-23,31.93,33.5,31.91,32.94,3776600
FUN,2025-07-24,32.43,32.86,31.55,31.72,1610900
FUN,2025-07-25,32.1,32.1,31.43,31.6,1785700
FUN,2025-07-28,31.64,31.99,30.96,31.4,1832500
FUN,2025-07-29,31.29,31.51,30.25,30.43,1733900
FUN,2025-07-30,30.35,30.6,29.5,30.38,2665000
FUN,2025-07-31,30.03,30.69,29.71,29.96,2527100
FUN,2025-08-01,29.28,29.88,28.8,29.69,3068300
FUN,2025-08-04,29.83,31,29.4,30.61,4131000
FUN,2025-08-05,30.54,31.25,30.2,30.7,4117700
FUN,2025-08-06,26.56,26.56,21.44,24.32,26843400
FUN,2025-08-07,23.77,25.5,23.54,25.16,8678000
FUN,2025-08-08,24.74,25.32,23.48,23.79,5598300
FUN,2025-08-11,24.1,24.61,23.38,24.4,6387100
FUN,2025-08-12,24.7,25.71,24.49,25.6,5225700
FUN,2025-08-13,25.68,26.58,24.9,26.36,5054100
FUN,2025-08-14,25.81,26.74,25.2,26.71,5681200
FUN,2025-08-15,27,27.37,25.54,25.54,2711700
FUN,2025-08-18,25.37,25.68,24.72,25.66,4912200
FUN,2025-08-19,25.76,26.18,25.47,25.98,5132100
FUN,2025-08-20,26.02,26.22,25.5,26.13,2276500
FUN,2025-08-21,25.78,26.25,24.97,25.59,1825800
FUN,2025-08-22,25.71,26.88,25.65,26.05,4156700
FUN,2025-08-25,26.01,26.05,25.19,25.48,2032300
FUN,2025-08-26,25.22,25.31,23.99,24,2436600
FUN,2025-08-27,24,24.3,23.45,23.73,2696400
