symbol,date,open,high,low,close,volume
GOOGL,2025-02-14,185.06,186.4,184.32,185.23,20448400
GOOGL,2025-02-18,185.6,185.96,181.74,183.77,29916700
GOOGL,2025-02-19,184.07,185.46,183.59,185.27,19549400
GOOGL,2025-02-20,184.8,185.31,182.72,184.56,20441500
GOOGL,2025-02-21,185.15,185.34,179.08,179.66,35199200
GOOGL,2025-02-24,181.99,183.12,178.89,179.25,29854200
GOOGL,2025-02-25,178.04,178.74,174.69,175.42,41913400
GOOGL,2025-02-26,175.07,176.08,171.58,172.73,35431300
GOOGL,2025-02-27,173.99,174.56,167.94,168.5,39991000
GOOGL,2025-02-28,168.68,170.61,166.77,170.28,48130600
GOOGL,2025-03-03,171.93,173.37,165.93,167.01,40770500
GOOGL,2025-03-04,166.24,173.29,165.8,170.92,45388000
GOOGL,2025-03-05,170.52,173.78,169.06,173.02,30954900
GOOGL,2025-03-06,170.53,174.81,170.5,172.35,28302000
GOOGL,2025-03-07,171.26,174.97,170.27,173.86,27385800
GOOGL,2025-03-10,168.26,168.46,163.69,165.87,43604000
GOOGL,2025-03-11,164.91,166.75,161.37,164.04,39587400
GOOGL,2025-03-12,166.58,167.64,163.53,167.11,28372400
GOOGL,2025-03-13,166.04,166.13,162.11,162.76,31756200
GOOGL,2025-03-14,163.27,166.49,162.45,165.49,31995900
GOOGL,2025-03-17,165.03,166.3,163.67,164.29,31184300
GOOGL,2025-03-18,163.68,164.25,156.72,160.67,42074800
GOOGL,2025-03-19,161.76,165.87,161,163.89,34275600
GOOGL,2025-03-20,161.57,164.89,160.96,162.8,28138500
GOOGL,2025-03-21,161.21,164.24,160.89,163.99,36625800
GOOGL,2025-03-24,167.07,168.32,165.14,167.68,30879100
GOOGL,2025-03-25,168.98,170.63,168.32,170.56,24174400
GOOGL,2025-03-26,169,169.61,164.84,165.06,28901600
GOOGL,2025-03-27,164.63,165.42,162,162.24,24508300
GOOGL,2025-03-28,160.49,161.82,153.63,154.33,48669300
GOOGL,2025-03-31,153.11,155.54,150.66,154.64,54603500
GOOGL,2025-04-01,153.62,158.1,153.62,157.07,30672900
GOOGL,2025-04-02,155.15,158.41,154.7,157.04,25041700
GOOGL,2025-04-03,151.11,152.78,150.39,150.72,46883400
GOOGL,2025-04-04,148.01,151.07,145.38,145.6,62259500
GOOGL,2025-04-07,141.55,152.85,140.53,146.75,76794100
GOOGL,2025-04-08,151.22,152.24,143.03,144.7,52200200
GOOGL,2025-04-09,144.42,159.55,143.91,158.71,70406200
GOOGL,2025-04-10,156.54,157.72,149.93,152.82,48022000
GOOGL,2025-04-11,152.9,157.67,152.82,157.14,33636200
GOOGL,2025-04-14,160,161.72,157.56,159.07,30333000
GOOGL,2025-04-15,159.13,159.65,155.21,156.31,27551500
GOOGL,2025-04-16,153.1,155.89,151.51,153.33,28187400
GOOGL,2025-04-17,154.29,154.68,148.5,151.16,33046600
GOOGL,2025-04-21,148.88,148.95,146.1,147.67,26049100
GOOGL,2025-04-22,148.89,152.19,148.54,151.47,26971800
GOOGL,2025-04-23,155.61,157.53,153.81,155.35,31128800
GOOGL,2025-04-24,156.15,159.59,155.79,159.28,45894000
GOOGL,2025-04-25,165.07,166.1,161.04,161.96,56034000
